filename,length,Overlap_Score,Overlap_Score (Merged)
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.572, 0.643
cd1__02__dear_prudence.wav.txt,236.360, 0.436, 0.529
cd1__03__glass_onion.wav.txt,138.020, 0.422, 0.575
cd1__04__obladi_oblada.wav.txt,188.900, 0.632, 0.776
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.434, 0.671
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.592, 0.758
cd1__09__martha_my_dear.wav.txt,148.720, 0.563, 0.699
cd1__10__im_so_tired.wav.txt,123.270, 0.543, 0.776
cd1__11__black_bird.wav.txt,138.280, 0.443, 0.540
cd1__12__piggies.wav.txt,124.240, 0.578, 0.685
cd1__13__rocky_raccoon.wav.txt,212.780, 0.558, 0.755
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.796, 0.821
cd1__16__i_will.wav.txt,106.030, 0.449, 0.541
cd1__17__julia.wav.txt,173.480, 0.590, 0.703
cd2__01__birthday.wav.txt,162.890, 0.482, 0.568
cd2__02__yer_blues.wav.txt,241.090, 0.510, 0.654
cd2__03__mother_natures_son.wav.txt,167.980, 0.529, 0.613
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.487, 0.613
cd2__05__sexy_sadie.wav.txt,195.390, 0.558, 0.678
cd2__06__helter_skelter.wav.txt,269.740, 0.485, 0.611
cd2__07__long_long_long.wav.txt,184.350, 0.578, 0.751
cd2__08__revolution_1.wav.txt,255.640, 0.648, 0.807
cd2__09__honey_pie.wav.txt,161.300, 0.573, 0.674
cd2__10__savoy_truffle.wav.txt,174.890, 0.537, 0.644
cd2__11__cry_baby_cry.wav.txt,181.860, 0.476, 0.624
cd2__13__good_night.wav.txt,191.650, 0.483, 0.548

Ave.,, 0.544, 0.694 

Weighted Ave.,, 0.538, 0.688 
